Num	DT	KNN	naiveBase
1	false	false	false
2	false	false	false
3	false	false	false
4	false	false	false
5	false	false	false
6	false	false	false
7	false	false	false
8	false	false	false
9	false	false	false
10	false	false	false
11	false	false	false
12	false	false	false
13	false	false	false
14	false	false	false
15	false	false	false
16	false	false	true
17	false	false	false
18	true	true	true
19	false	false	true
20	false	false	false
21	false	false	true
22	true	true	true
23	false	false	false
24	true	true	true
	0.88	0.88	0.83
